country,location,property_type,apartment_living_area,apartment_rooms,apartment_bedrooms,bedroom_ratio,apartment_bathrooms,building_total_floors,apartment_floor,building_construction_year,price_in_USD
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,9.0,3.0,2023.0,290687.0
others,"Tashkent, Chilanzar District, Uzbekistan",apartment,39.45454545454545,2,1,0.6666666666666666,1,9.0,7.0,2023.0,120000.0
others,"Khanabad, Tashkent, Uzbekistan",apartment,60.45454545454545,2,1,0.6666666666666666,1,9.0,2.0,2023.0,110000.0
Turkey,"Akarca, Central Anatolia Region, Turkey",apartment,35.0,2,1,0.6666666666666666,1,6.0,2.0,2021.0,314122.0
others,"Chon Buri Province, Pattaya, Thailand",apartment,14.636363636363637,1,0,0.5,1,8.0,1.0,2021.0,44993.0
Turkey,"Yalci, Mediterranean Region, Alanya, Turkey",apartment,95.45454545454545,4,2,0.6666666666666666,2,8.0,5.0,2023.0,227168.0
Montenegro,"Kolašin Municipality, Montenegro",apartment,49.0,2,1,0.6666666666666666,1,4.0,2.0,2020.0,226238.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,4.0,2.0,2023.0,257602.0
Montenegro,Montenegro,apartment,40.72727272727273,1,1,1.0,0,4.0,2.0,2020.0,197821.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,55.36363636363636,4,2,1.0,2,4.0,2.0,2020.0,249741.0
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",apartment,34.36363636363636,2,1,0.6666666666666666,1,3.0,3.0,2020.0,255428.0
Montenegro,"Herceg Novi, Montenegro",apartment,54.72727272727273,2,2,1.0,0,3.0,3.0,2020.0,336948.0
Montenegro,"Boreti, Budva Municipality, Montenegro",apartment,32.45454545454545,1,0,1.0,1,4.0,2.0,2014.0,228255.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,29.90909090909091,1,1,1.0,0,3.0,3.0,2020.0,271732.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,63.63636363636363,4,3,1.0,1,3.0,1.0,2020.0,284716.0
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,48.36363636363636,3,2,0.6666666666666666,1,16.0,14.0,2023.0,105261.0
others,"Tashkent, Olmazor district, Uzbekistan",apartment,51.54545454545455,3,2,0.6666666666666666,1,13.0,12.0,2023.0,121000.0
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",apartment,50.0,2,1,0.6666666666666666,1,11.0,1.0,2025.0,286406.0
Turkey,"Marmara Region, Istanbul, Turkey",apartment,89.72727272727272,1,0,0.6666666666666666,3,5.0,4.0,2023.0,336000.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,70.0,3,2,0.6666666666666666,1,11.0,7.0,2023.0,308855.0
Turkey,"Bahcelievler, Marmara Region, Turkey",apartment,43.0,2,1,0.6666666666666666,1,13.0,4.0,2024.0,310861.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,50.90909090909091,3,2,0.6666666666666666,1,3.0,3.0,2023.0,273580.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,84.0,4,3,0.6666666666666666,1,5.0,4.0,2023.0,282601.0
Montenegro,"Kolasin, Kolašin Municipality, Montenegro",apartment,28.636363636363637,1,0,1.0,1,3.0,3.0,2020.0,279647.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,63.63636363636363,3,2,0.6666666666666666,1,3.0,3.0,2023.0,197909.0
Montenegro,"Bar, Bar Municipality, Montenegro",others,60.45454545454545,4,2,0.75,2,3.0,5.0,2020.0,271868.0
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",apartment,63.63636363636363,2,0,1.0,2,3.0,3.0,2020.0,268143.0
Montenegro,"Kotor, Kotor Municipality, Montenegro",apartment,68.72727272727272,2,2,1.0,0,3.0,3.0,2020.0,307601.0
Montenegro,"Tivat, Tivat Municipality, Montenegro",apartment,64.0,1,1,1.0,0,3.0,3.0,2020.0,316296.0
Montenegro,Montenegro,apartment,106.9090909090909,4,4,1.0,0,3.0,3.0,2020.0,303036.0
Montenegro,"Rafailovici, Sveti Stefan, Budva Municipality, Montenegro",apartment,28.0,2,1,1.0,1,9.0,6.0,2020.0,214349.0
Montenegro,"Rafailovici, Sveti Stefan, Budva Municipality, Montenegro",apartment,54.09090909090909,2,2,1.0,0,3.0,3.0,2020.0,271732.0
others,"Tashkent, Yashnabad District, Uzbekistan",apartment,50.27272727272727,3,2,0.6666666666666666,1,16.0,4.0,2023.0,93589.0
others,"Mirzo Ulugbek district, Shaykhontohur Tumani, Uzbekistan",apartment,36.90909090909091,2,1,0.6666666666666666,1,10.0,4.0,2023.0,120000.0
others,"Tashkent, Yashnabad District, Uzbekistan",apartment,58.54545454545455,3,1,0.6666666666666666,2,8.0,3.0,2023.0,110000.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,57.27272727272727,3,2,0.6666666666666666,1,11.0,11.0,2023.0,302685.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",apartment,66.81818181818181,4,2,0.6666666666666666,2,12.0,12.0,2023.0,290210.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,31.818181818181817,2,1,0.6666666666666666,1,3.0,3.0,2023.0,339135.0
Turkey,"Akarca, Central Anatolia Region, Turkey",apartment,95.45454545454545,4,2,0.6666666666666666,2,6.0,2.0,2023.0,251080.0
Turkey,"Marmara Region, Evliya Celebi Mahallesi, Turkey",apartment,76.0,2,1,0.6666666666666666,1,5.0,4.0,2023.0,305605.0
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",penthouse,117.0,3,1,0.75,2,9.0,4.0,2024.0,266297.0
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",apartment,54.09090909090909,3,2,0.6666666666666666,1,2.0,2.0,2023.0,180447.0
Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",apartment,70.0,4,3,0.6666666666666666,1,5.0,3.0,2023.0,210864.0
Montenegro,"Sustas, Bar Municipality, Montenegro",apartment,52.18181818181818,2,0,1.0,2,4.0,2.0,2020.0,244559.0
Montenegro,Montenegro,apartment,61.09090909090909,3,3,1.0,0,3.0,3.0,2020.0,325970.0
Montenegro,"Tivat, Tivat Municipality, Montenegro",apartment,65.0,1,1,1.0,0,3.0,3.0,2020.0,271732.0
Montenegro,Montenegro,apartment,45.18181818181818,2,2,1.0,0,3.0,3.0,2020.0,293471.0
Montenegro,"Kotor, Kotor Municipality, Montenegro",apartment,80.18181818181819,3,0,1.0,3,3.0,3.0,2020.0,288036.0
others,"Tashkent, Yashnabad District, Uzbekistan",apartment,36.27272727272727,2,1,0.6666666666666666,1,16.0,3.0,2022.0,83864.0
